8783,∀,82,82,7c,44,28,28,10,00
8784,∃,7e,02,02,7e,02,02,7e,00
8796,∠,00,02,04,08,10,20,7e,00
8797,⊥,00,10,10,10,10,10,fe,00
8798,⌒,7c,82,00,00,00,00,00,00
8799,∂,18,24,04,34,48,48,30,00
8800,∇,fe,c2,44,64,28,38,10,00
8801,≡,00,7e,00,7e,00,7e,00,00
8802,≒,40,00,fe,00,fe,00,04,00
8803,≪,00,24,48,90,48,24,00,00
8804,≫,00,48,24,12,24,48,00,00
8805,√,1e,10,20,20,e0,40,40,00
8806,∽,00,4c,92,92,92,64,00,00
8807,∝,00,6c,92,90,92,6c,00,00
8808,∵,00,44,00,00,00,10,00,00
8809,∫,18,28,20,10,08,28,30,00
8810,∬,36,5a,48,24,12,5a,6c,00
8818,Å,10,28,10,28,38,44,ee,00
8819,‰,44,a8,50,20,54,aa,14,00
8820,♯,04,26,3c,66,3c,64,20,00
8821,♭,20,20,28,34,24,28,30,00
8822,♪,10,18,14,14,30,70,60,00
8823,†,10,38,10,10,10,10,10,00
8824,‡,10,38,10,10,10,38,10,00
8825,¶,3c,74,74,34,14,14,14,00
8830,◯,7c,82,82,82,82,82,7c,00
9008,０,3c,42,42,42,42,42,3c,00
9009,１,10,30,10,10,10,10,38,00
9010,２,3c,42,02,04,18,22,7e,00
9011,３,3c,42,02,1c,02,42,3c,00
9012,４,04,0c,14,24,7e,04,0e,00
9013,５,7e,40,7c,42,02,42,3c,00
9014,６,1c,20,40,7c,42,42,3c,00
9015,７,7e,42,04,08,08,10,10,00
9016,８,3c,42,42,3c,42,42,3c,00
9017,９,3c,42,42,3e,02,04,38,00
9025,Ａ,10,10,28,28,7c,44,ee,00
9026,Ｂ,7c,22,22,3c,22,22,7c,00
9027,Ｃ,1a,26,40,40,40,22,1c,00
9028,Ｄ,78,24,22,22,22,24,78,00
9029,Ｅ,7e,22,28,38,28,22,7e,00
9030,Ｆ,7e,22,28,38,28,20,70,00
9031,Ｇ,1a,26,40,4e,42,22,1c,00
9032,Ｈ,ee,44,44,7c,44,44,ee,00
9033,Ｉ,38,10,10,10,10,10,38,00
9034,Ｊ,1c,08,08,08,08,48,30,00
9035,Ｋ,ec,48,50,70,48,44,ee,00
9036,Ｌ,70,20,20,20,20,22,7e,00
9037,Ｍ,c6,44,6c,54,54,44,ee,00
9038,Ｎ,ce,44,64,54,4c,44,e4,00
9039,Ｏ,18,24,42,42,42,24,18,00
9040,Ｐ,7c,22,22,3c,20,20,70,00
9041,Ｑ,18,24,42,42,5a,24,1a,00
9042,Ｒ,f8,44,44,78,48,44,e6,00
9043,Ｓ,3a,46,40,3c,02,62,5c,00
9044,Ｔ,fe,92,10,10,10,10,38,00
9045,Ｕ,ee,44,44,44,44,44,38,00
9046,Ｖ,ee,44,44,28,28,10,10,00
9047,Ｗ,ee,44,54,54,28,28,28,00
9048,Ｘ,ee,44,28,10,28,44,ee,00
9049,Ｙ,ee,44,28,10,10,10,38,00
9050,Ｚ,7e,44,08,10,20,42,7e,00
9057,ａ,00,00,38,04,3c,44,3a,00
9058,ｂ,60,20,38,24,24,24,38,00
9059,ｃ,00,00,38,44,40,44,38,00
9060,ｄ,18,08,38,48,48,48,34,00
9061,ｅ,00,00,38,44,7c,40,38,00
9062,ｆ,0c,10,38,10,10,10,38,00
9063,ｇ,00,00,3c,48,38,08,30,00
9064,ｈ,60,20,38,24,24,24,76,00
9065,ｉ,10,00,30,10,10,10,38,00
9066,ｊ,08,00,18,08,08,48,30,00
9067,ｋ,60,20,2c,28,38,24,76,00
9068,ｌ,30,10,10,10,10,10,38,00
9069,ｍ,00,00,e8,54,54,54,d6,00
9070,ｎ,00,00,78,24,24,24,76,00
9071,ｏ,00,00,38,44,44,44,38,00
9072,ｐ,00,00,78,24,38,20,70,00
9073,ｑ,00,00,3c,48,38,08,1c,00
9074,ｒ,00,00,78,24,20,20,70,00
9075,ｓ,00,00,38,40,38,04,78,00
9076,ｔ,10,10,38,10,10,14,08,00
9077,ｕ,00,00,6c,24,24,24,1a,00
9078,ｖ,00,00,ee,44,28,28,10,00
9079,ｗ,00,00,d6,54,54,28,28,00
9080,ｘ,00,00,6e,24,18,24,76,00
9081,ｙ,00,00,6e,24,18,10,60,00
9082,ｚ,00,00,7c,48,10,24,7c,00
9249,ぁ,00,10,3c,18,34,5a,32,00
9250,あ,30,18,64,3c,6a,b2,64,00
9251,ぃ,00,00,44,42,56,60,20,00
9252,い,00,88,84,82,a6,60,20,00
9253,ぅ,00,30,10,68,08,10,20,00
9254,う,20,18,18,64,04,08,30,00
9255,ぇ,00,30,18,68,10,30,4c,00
9256,え,20,18,1c,68,18,28,46,00
9257,ぉ,00,30,14,72,1c,72,14,00
9258,お,60,34,e2,2c,32,e2,2c,00
9259,か,60,20,34,d2,56,50,a0,00
9260,が,6a,20,34,d2,56,50,a0,00
9261,き,30,1c,70,0e,f4,40,3c,00
9262,ぎ,34,1c,70,0e,f4,40,3c,00
9263,く,0c,08,30,40,30,08,04,00
9264,ぐ,0c,08,36,40,30,08,04,00
9265,け,cc,46,5c,a4,c4,44,08,00
9266,げ,ca,46,5c,a4,c4,44,08,00
9267,こ,00,3c,08,00,20,40,3e,00
9268,ご,0a,3c,08,00,20,40,3e,00
9269,さ,18,0e,78,04,3c,40,3c,00
9270,ざ,1a,0e,78,04,3c,40,3c,00
9271,し,60,20,20,20,22,24,18,00
9272,じ,6a,20,20,20,22,24,18,00
9273,す,18,0e,f8,28,18,08,10,00
9274,ず,1a,0e,f8,28,18,08,10,00
9275,せ,0c,64,2e,f4,2c,20,1e,00
9276,ぜ,0a,64,2e,f4,2c,20,1e,00
9277,そ,1c,68,10,3e,d0,10,0c,00
9278,ぞ,1c,6a,10,3e,d0,10,0c,00
9279,た,60,30,ee,44,40,50,8e,00
9280,だ,6a,30,ee,44,40,50,8e,00
9281,ち,18,0e,70,1c,22,02,1c,00
9282,ぢ,1a,0e,70,1c,22,02,1c,00
9283,っ,00,00,00,18,64,08,10,00
9284,つ,00,1c,e2,02,04,18,00,00
9285,づ,0a,1c,e2,02,04,18,00,00
9286,て,0e,f8,10,20,20,10,0c,00
9287,で,0e,f8,16,20,20,10,0c,00
9288,と,30,10,16,1c,20,40,3e,00
9289,ど,2a,10,16,1c,20,40,3e,00
9290,な,60,34,e6,44,9c,26,1c,00
9291,に,c0,5c,48,80,90,a0,5e,00
9292,ぬ,18,48,7c,52,b2,a6,56,00
9293,ね,60,2c,b2,62,66,aa,26,00
9294,の,00,38,54,a2,a2,44,18,00
9295,は,cc,46,5c,84,9c,a6,5a,00
9296,ば,ca,46,5c,84,9c,a6,5a,00
9297,ぱ,cc,4a,5c,84,9c,a6,5a,00
9298,ひ,28,e4,46,44,44,48,30,00
9299,び,2a,e4,46,44,44,48,30,00
9300,ぴ,2c,ea,46,44,44,48,30,00
9301,ふ,10,08,10,10,1c,aa,da,00
9302,ぶ,16,08,10,10,1c,aa,da,00
9303,ぷ,14,0a,14,10,1c,aa,da,00
9304,へ,00,20,50,c8,06,00,00,00
9305,べ,0a,20,50,c8,06,00,00,00
9306,ぺ,04,2a,54,c8,06,00,00,00
9307,ほ,c6,5c,46,9c,84,de,5a,00
9308,ぼ,ca,5c,46,9c,84,de,5a,00
9309,ぽ,84,5a,46,9c,84,de,5a,00
9310,ま,18,4e,38,2c,38,4c,3a,00
9311,み,30,50,24,7c,a6,c8,10,00
9312,む,60,34,e6,64,a2,62,3c,00
9313,め,18,48,7c,52,b2,a2,54,00
9314,も,10,50,38,60,3a,22,1c,00
9315,ゃ,00,08,2c,2a,76,10,08,00
9316,や,68,4c,32,e6,10,10,08,00
9317,ゅ,00,08,5c,6a,5c,08,10,00
9318,ゆ,08,9c,aa,aa,dc,48,10,00
9319,ょ,00,18,08,0c,38,4c,34,00
9320,よ,18,08,0e,08,38,4c,3a,00
9321,ら,20,18,60,5c,62,42,1c,00
9322,り,68,34,24,24,04,08,10,00
9323,る,1c,68,10,3c,42,32,3c,00
9324,れ,60,2c,b4,64,64,a6,24,00
9325,ろ,1c,68,10,3c,42,02,3c,00
9326,ゎ,00,30,14,5a,32,52,14,00
9327,わ,60,2c,b2,62,62,a4,28,00
9328,ゐ,30,50,3c,52,a6,aa,44,00
9329,ゑ,18,60,38,44,18,6c,92,00
9330,を,30,18,66,34,d8,28,1e,00
9331,ん,30,10,20,30,6a,4a,8c,00
9505,ァ,00,00,0c,74,18,10,20,00
9506,ア,0e,72,0c,08,08,10,20,00
9507,ィ,00,00,0c,08,10,68,08,00
9508,イ,0c,08,10,28,c8,08,08,00
9509,ゥ,00,30,1c,64,44,08,30,00
9510,ウ,30,9e,62,42,04,08,30,00
9511,ェ,00,00,08,30,10,1c,60,00
9512,エ,00,0c,70,10,10,3e,c0,00
9513,ォ,00,18,0c,78,18,68,18,00
9514,オ,18,0e,f8,18,28,d8,08,00
9515,カ,18,0e,7a,12,12,2e,44,00
9516,ガ,1a,0e,7a,12,12,2e,44,00
9517,キ,30,1c,70,1e,70,08,08,00
9518,ギ,34,1c,70,1e,70,08,08,00
9519,ク,10,1e,12,62,04,08,30,00
9520,グ,0a,1e,12,62,04,08,30,00
9521,ケ,30,26,38,48,88,10,20,00
9522,ゲ,2a,26,38,48,88,10,20,00
9523,コ,00,0e,72,02,02,1e,60,00
9524,ゴ,0a,0e,72,02,02,1e,60,00
9525,サ,0c,64,3e,e4,24,08,10,00
9526,ザ,0a,64,3e,e4,24,08,10,00
9527,シ,40,20,40,22,04,18,60,00
9528,ジ,4a,20,40,22,04,18,60,00
9529,ス,00,0c,74,08,18,24,c2,00
9530,ズ,0a,0c,74,08,18,24,c2,00
9531,セ,60,20,2e,f4,28,20,1e,00
9532,ゼ,6a,20,2e,f4,28,20,1e,00
9533,ソ,02,42,22,24,04,08,30,00
9534,ゾ,06,42,22,24,04,08,30,00
9535,タ,10,1e,12,6a,04,08,30,00
9536,ダ,0a,1e,12,6a,04,08,30,00
9537,チ,08,70,1e,f0,10,10,20,00
9538,ヂ,0a,70,1e,f0,10,10,20,00
9539,ッ,00,00,00,54,24,08,30,00
9540,ツ,00,22,92,52,04,08,30,00
9541,ヅ,0a,20,92,52,04,08,30,00
9542,テ,0c,70,0e,f0,10,10,20,00
9543,デ,0a,70,0e,f0,10,10,20,00
9544,ト,30,10,10,18,14,10,10,00
9545,ド,36,10,10,18,14,10,10,00
9546,ナ,30,1e,f0,10,10,20,40,00
9547,ニ,00,0c,70,00,00,3e,c0,00
9548,ヌ,0c,74,08,38,14,24,c0,00
9549,ネ,30,1c,68,18,34,d2,10,00
9550,ノ,06,04,04,08,08,10,60,00
9551,ハ,00,08,24,24,42,82,00,00
9552,バ,06,08,24,24,42,82,00,00
9553,パ,04,0a,24,24,42,82,00,00
9554,ヒ,60,20,26,38,20,20,1e,00
9555,ビ,6a,20,26,38,20,20,1e,00
9556,ピ,64,2a,26,38,20,20,1e,00
9557,フ,00,0e,72,02,04,08,30,00
9558,ブ,0a,0e,72,02,04,08,30,00
9559,プ,04,0a,76,02,04,08,30,00
9560,ヘ,00,20,50,c8,04,02,00,00
9561,ベ,0a,20,50,c8,04,02,00,00
9562,ペ,04,2a,54,c8,04,02,00,00
9563,ホ,30,10,1e,f0,54,92,30,00
9564,ボ,36,10,1e,f0,54,92,30,00
9565,ポ,34,1a,1e,f0,54,92,30,00
9566,マ,00,1e,e4,08,30,10,08,00
9567,ミ,30,08,30,08,00,70,0c,00
9568,ム,10,10,10,20,24,4e,f2,00
9569,メ,06,04,34,08,14,20,c0,00
9570,モ,04,78,10,1e,f0,10,0e,00
9571,ャ,00,00,10,1e,74,08,08,00
9572,ヤ,20,2e,f4,18,10,08,08,00
9573,ュ,00,00,08,38,08,1e,60,00
9574,ユ,00,18,68,08,08,3e,c0,00
9575,ョ,00,0c,34,0c,14,0c,30,00
9576,ヨ,0e,72,0e,32,02,1e,60,00
9577,ラ,0c,70,0e,72,04,08,30,00
9578,リ,0c,64,24,24,04,08,10,00
9579,ル,18,68,28,28,4a,4c,88,00
9580,レ,60,20,20,22,24,28,30,00
9581,ロ,00,ce,72,44,44,7e,40,00
9582,ヮ,00,00,0c,74,44,08,30,00
9583,ワ,00,ce,72,42,04,08,30,00
9584,ヰ,18,0c,78,2e,f8,08,08,00
9585,ヱ,00,1c,68,10,10,3e,c0,00
9586,ヲ,0e,72,0e,32,04,08,30,00
9587,ン,00,40,20,02,04,18,60,00
9588,ヴ,34,9e,62,42,04,08,30,00
9589,ヵ,00,00,30,1c,74,2c,48,00
9590,ヶ,00,00,20,26,38,48,10,00
9761,Α,10,10,28,28,7c,44,ee,00
9762,Β,7c,22,22,3c,22,22,7c,00
9763,Γ,7e,22,20,20,20,20,70,00
9764,Δ,10,10,28,28,44,44,fe,00
9765,Ε,7e,22,28,38,28,22,7e,00
9766,Ζ,7e,44,08,10,20,42,7e,00
9767,Η,ee,44,44,7c,44,44,ee,00
9768,Θ,38,44,aa,ba,aa,44,38,00
9769,Ι,38,10,10,10,10,10,38,00
9770,Κ,ec,48,50,70,48,44,ee,00
9771,Λ,10,10,28,28,44,44,ee,00
9772,Μ,c6,44,6c,54,54,44,ee,00
9773,Ν,ce,44,64,54,4c,44,e4,00
9774,Ξ,7e,42,24,3c,24,42,7e,00
9775,Ο,18,24,42,42,42,24,18,00
9776,Π,fe,44,44,44,44,44,ee,00
9777,Ρ,7c,22,22,3c,20,20,70,00
9778,Σ,7e,22,10,08,10,22,7e,00
9779,Τ,fe,92,10,10,10,10,38,00
9780,Υ,6c,92,10,10,10,10,38,00
9781,Φ,38,10,7c,92,7c,10,38,00
9782,Χ,ee,44,28,10,28,44,ee,00
9783,Ψ,ba,54,54,38,10,10,38,00
9784,Ω,38,44,82,82,44,aa,ee,00
9793,α,00,00,1a,24,48,4a,34,00
9794,β,0c,12,2c,22,32,4c,40,00
9795,γ,00,00,64,18,10,30,20,00
9796,δ,18,24,10,28,48,48,30,00
9797,ε,00,00,18,24,30,44,38,00
9798,ζ,2c,10,20,20,18,04,18,00
9799,η,00,00,2c,52,12,24,04,00
9800,θ,18,24,24,7c,48,48,30,00
9801,ι,00,00,10,10,20,28,10,00
9802,κ,00,00,24,28,30,50,4c,00
9803,λ,10,08,08,18,28,28,44,00
9804,μ,00,00,12,12,24,3a,40,00
9805,ν,00,00,44,24,28,30,20,00
9806,ξ,1c,20,3c,40,38,04,18,00
9807,ο,00,00,18,24,44,48,30,00
9808,π,00,00,3e,54,14,24,46,00
9809,ρ,00,00,1c,22,22,5c,40,00
9810,σ,00,00,1e,24,44,48,30,00
9811,τ,00,00,3e,48,10,14,08,00
9812,υ,00,00,32,52,22,24,18,00
9813,φ,04,04,3c,4a,4a,3c,10,00
9814,χ,00,00,34,08,10,30,4c,00
9815,ψ,04,04,68,2a,4a,3c,10,00
9816,ω,00,00,22,4a,4a,5a,24,00
10017,А,10,10,28,28,7c,44,ee,00
10018,Б,7e,22,20,3c,22,22,7c,00
10019,В,7c,22,22,3c,22,22,7c,00
10020,Г,7e,22,20,20,20,20,70,00
10021,Д,7e,24,24,24,44,7e,82,00
10022,Е,7e,22,28,38,28,22,7e,00
10023,Ё,24,7e,2a,38,28,22,7e,00
10024,Ж,92,54,54,38,54,54,d6,00
10025,З,3c,42,02,1c,02,42,3c,00
10026,И,ee,44,4c,54,64,44,ee,00
10027,Й,28,d6,4c,54,64,44,ee,00
10028,К,e6,48,48,70,48,44,ee,00
10029,Л,7e,24,24,24,24,a4,ce,00
10030,М,6c,28,28,54,54,44,ee,00
10031,Н,ee,44,44,7c,44,44,ee,00
10032,О,18,24,42,42,42,24,18,00
10033,П,fe,44,44,44,44,44,ee,00
10034,Р,7c,22,22,3c,20,20,70,00
10035,С,1a,26,40,40,40,22,1c,00
10036,Т,fe,92,10,10,10,10,38,00
10037,У,ee,44,24,28,18,90,e0,00
10038,Ф,38,10,7c,92,7c,10,38,00
10039,Х,ee,44,28,10,28,44,ee,00
10040,Ц,ee,44,44,44,44,fe,02,00
10041,Ч,ee,44,44,4c,34,04,0e,00
10042,Ш,d6,54,54,54,54,54,fe,00
10043,Щ,d6,54,54,54,54,fe,02,00
10044,Ъ,f0,a0,20,3c,22,22,7c,00
10045,Ы,ee,44,44,74,4c,4c,f6,00
10046,Ь,70,20,20,3c,22,22,7c,00
10047,Э,38,44,12,2e,02,44,38,00
10048,Ю,ec,52,52,72,52,52,ec,00
10049,Я,3e,44,44,3c,24,24,4e,00
10065,а,00,00,38,04,3c,44,3a,00
10066,б,04,38,40,78,44,44,38,00
10067,в,00,00,78,24,38,24,78,00
10068,г,00,00,7c,24,20,20,70,00
10069,д,00,00,7c,28,28,7c,84,00
10070,е,00,00,38,44,7c,40,38,00
10071,ё,28,00,38,44,7c,40,38,00
10072,ж,00,00,d6,54,38,54,d6,00
10073,з,00,00,38,44,18,44,38,00
10074,и,00,00,6e,24,2c,34,6e,00
10075,й,28,10,6e,24,2c,34,6e,00
10076,к,00,00,76,28,38,24,76,00
10077,л,00,00,3e,14,14,54,6e,00
10078,м,00,00,c6,6c,54,54,ee,00
10079,н,00,00,6e,24,3c,24,6e,00
10080,о,00,00,38,44,44,44,38,00
10081,п,00,00,7e,24,24,24,6e,00
10082,р,00,00,78,24,38,20,70,00
10083,с,00,00,38,44,40,44,38,00
10084,т,00,00,7c,54,10,10,38,00
10085,у,00,00,6e,24,18,10,60,00
10086,ф,30,10,38,54,38,10,38,00
10087,х,00,00,6e,24,18,24,6e,00
10088,ц,00,00,6e,24,24,3e,02,00
10089,ч,00,00,6e,24,1c,04,0e,00
10090,ш,00,00,d6,54,54,54,fe,00
10091,щ,00,00,d6,54,54,fe,02,00
10092,ъ,00,00,70,50,1c,12,3c,00
10093,ы,00,00,ee,44,74,4c,f6,00
10094,ь,00,00,70,20,38,24,78,00
10095,э,00,00,38,44,1c,44,38,00
10096,ю,00,00,ec,52,72,52,ec,00
10097,я,00,00,3c,48,38,28,5c,00
10273,─,00,00,00,ff,00,00,00,00
10274,│,10,10,10,10,10,10,10,10
10275,┌,00,00,00,1f,10,10,10,10
10276,┐,00,00,00,f0,10,10,10,10
10277,┘,10,10,10,f0,00,00,00,00
10278,└,10,10,10,1f,00,00,00,00
10279,├,10,10,10,1f,10,10,10,10
10280,┬,00,00,00,ff,10,10,10,10
10281,┤,10,10,10,f0,10,10,10,10
10282,┴,10,10,10,ff,00,00,00,00
10283,┼,10,10,10,ff,10,10,10,10
10284,━,00,00,00,ff,ff,00,00,00
10285,┃,18,18,18,18,18,18,18,18
10286,┏,00,00,00,1f,1f,18,18,18
10287,┓,00,00,00,f8,f8,18,18,18
10288,┛,18,18,18,f8,f8,00,00,00
10289,┗,18,18,18,1f,1f,00,00,00
10290,┣,18,18,18,1f,1f,18,18,18
10291,┳,00,00,00,ff,ff,18,18,18
10292,┫,18,18,18,f8,f8,18,18,18
10293,┻,18,18,18,ff,ff,00,00,00
10294,╋,18,18,18,ff,ff,18,18,18
10295,┠,18,18,18,1f,18,18,18,18
10296,┯,00,00,00,ff,ff,10,10,10
10297,┨,18,18,18,f8,18,18,18,18
10298,┷,10,10,10,ff,ff,00,00,00
10299,┿,10,10,10,ff,ff,10,10,10
10300,┝,10,10,10,1f,1f,10,10,10
10301,┰,00,00,00,ff,18,18,18,18
10302,┥,10,10,10,f0,f0,10,10,10
10303,┸,18,18,18,ff,00,00,00,00
10304,╂,18,18,18,ff,18,18,18,18
11553,㈰,7c,92,b2,92,92,92,7c,00
11554,㈪,7c,b2,8a,92,a2,ba,7c,00
